57,57
60,60
62,62
65,65
68,68
71,71
74,74
77,77
80,80
83,83
87,87
90,90
94,94
98,98
102,102
106,106
110,110
115,115
119,119
124,124
129,129
134,134
140,140
145,145
151,151
157,157
163,163
169,169
176,176
182,182
189,189
197,197
204,204
212,212
220,220
228,228
237,237
246,246
255,255
264,264
274,274
284,284
294,294
305,305
316,316
328,328
339,339
352,352
364,364
377,377
390,390
404,404
418,418
433,433
448,448
464,464
480,480
496,496
513,513
531,531
549,549
568,568
587,587
606,606
627,627
647,647
669,669
691,691
714,714
737,737
761,761
786,786
811,811
837,837
864,864
891,891
920,920
949,949
978,978
1009,1009
1040,1040
1073,1073
1106,1106
1140,1140
1174,1174
1210,1210
1247,1247
1284,1284
1323,1323
1362,1362
1403,1403
1444,1444
1486,1486
1530,1530
1574,1574
1620,1620
1667,1667
1715,1715
1764,1764
1814,1814
1865,1865
1917,1917
1971,1971
2026,2026
2082,2082
2139,2139
2198,2198
2257,2257
2319,2319
2381,2381
2445,2445
2510,2510
2577,2577
2645,2645
2714,2714
2785,2785
2857,2857
2931,2931
3006,3006
3083,3083
3161,3161
3241,3241
3323,3323
3406,3406
3490,3490
3576,3576
3664,3664
3753,3753
3844,3844
3937,3937
4031,4031
4128,4128
4225,4225
4325,4325
4426,4426
4529,4529
4633,4633
4740,4740
4848,4848
4958,4958
5070,5070
5183,5183
5299,5299
5416,5416
5535,5535
5656,5656
5779,5779
5903,5903
6030,6030
6158,6158
6288,6288
6420,6420
6554,6554
6689,6689
6827,6827
6966,6966
7107,7107
7250,7250
7395,7395
7542,7542
7691,7691
7841,7841
7994,7994
8148,8148
8304,8304
8461,8461
8621,8621
8782,8782
8945,8945
9110,9110
9277,9277
9445,9445
9615,9615
9787,9787
9961,9961
10136,10136
10313,10313
10491,10491
10671,10671
10853,10853
11036,11036
11221,11221
11407,11407
11594,11594
11784,11784
11974,11974
12166,12166
12359,12359
12554,12554
12750,12750
12947,12947
13146,13146
13345,13345
13546,13546
13748,13748
13951,13951
14155,14155
14360,14360
14566,14566
14772,14772
14980,14980
15189,15189
15398,15398
15608,15608
15818,15818
16029,16029
16241,16241
16454,16454
16666,16666
16879,16879
17093,17093
17307,17307
17521,17521
17735,17735
17949,17949
18164,18164
18378,18378
18593,18593
18807,18807
19021,19021
19235,19235
19448,19448
19662,19662
19874,19874
20087,20087
20299,20299
20510,20510
20720,20720
20930,20930
21139,21139
21347,21347
21554,21554
21760,21760
21965,21965
22169,22169
22371,22371
22572,22572
22772,22772
22971,22971
23168,23168
23364,23364
23557,23557
23750,23750
23940,23940
24129,24129
24315,24315
24500,24500
24683,24683
24863,24863
25042,25042
25218,25218
25392,25392
25564,25564
25733,25733
