61,61
64,64
67,67
69,69
72,72
75,75
79,79
82,82
85,85
89,89
93,93
96,96
100,100
104,104
109,109
113,113
118,118
122,122
127,127
132,132
138,138
143,143
149,149
155,155
161,161
167,167
174,174
180,180
187,187
195,195
202,202
210,210
218,218
226,226
235,235
243,243
253,253
262,262
272,272
282,282
292,292
303,303
314,314
325,325
337,337
349,349
362,362
375,375
388,388
402,402
417,417
431,431
446,446
462,462
478,478
495,495
512,512
529,529
548,548
566,566
586,586
605,605
626,626
647,647
668,668
691,691
714,714
737,737
761,761
786,786
812,812
838,838
865,865
893,893
922,922
951,951
981,981
1012,1012
1044,1044
1076,1076
1110,1110
1144,1144
1179,1179
1216,1216
1253,1253
1291,1291
1330,1330
1370,1370
1411,1411
1453,1453
1496,1496
1540,1540
1586,1586
1632,1632
1679,1679
1728,1728
1778,1778
1829,1829
1881,1881
1935,1935
1989,1989
2045,2045
2102,2102
2161,2161
2221,2221
2282,2282
2344,2344
2408,2408
2473,2473
2540,2540
2608,2608
2678,2678
2749,2749
2821,2821
2895,2895
2971,2971
3048,3048
3127,3127
3207,3207
3289,3289
3372,3372
3457,3457
3544,3544
3633,3633
3723,3723
3815,3815
3908,3908
4004,4004
4101,4101
4200,4200
4300,4300
4403,4403
4507,4507
4613,4613
4721,4721
4831,4831
4942,4942
5056,5056
5171,5171
5289,5289
5408,5408
5529,5529
5652,5652
5777,5777
5904,5904
6033,6033
6164,6164
6297,6297
6432,6432
6568,6568
6707,6707
6848,6848
6991,6991
7135,7135
7282,7282
7431,7431
7581,7581
7734,7734
7888,7888
8045,8045
8204,8204
8364,8364
8526,8526
8691,8691
8857,8857
9026,9026
9196,9196
9368,9368
9542,9542
9718,9718
9895,9895
10075,10075
10256,10256
10440,10440
10625,10625
10812,10812
11000,11000
11191,11191
11383,11383
11576,11576
11772,11772
11969,11969
12167,12167
12367,12367
12569,12569
12772,12772
12977,12977
13183,13183
13391,13391
13600,13600
13810,13810
14022,14022
14235,14235
14449,14449
14664,14664
14881,14881
15098,15098
15317,15317
15537,15537
15757,15757
15979,15979
16201,16201
16424,16424
16648,16648
16873,16873
17098,17098
17324,17324
17550,17550
17777,17777
18005,18005
18233,18233
18461,18461
18689,18689
18917,18917
19146,19146
19375,19375
19604,19604
19832,19832
20061,20061
20289,20289
20517,20517
20745,20745
20973,20973
21199,21199
21426,21426
21652,21652
21877,21877
22101,22101
22325,22325
22548,22548
22770,22770
22991,22991
23210,23210
23429,23429
23646,23646
23863,23863
24077,24077
24291,24291
24502,24502
24713,24713
24921,24921
25128,25128
25333,25333
25536,25536
25737,25737
25936,25936
26133,26133
26328,26328
26521,26521
26711,26711
26899,26899
27085,27085
27268,27268
27449,27449
27626,27626
27802,27802
27974,27974
28143,28143
28310,28310
28474,28474
28634,28634
28792,28792
28946,28946
29097,29097
29245,29245
29390,29390
29531,29531
29669,29669
29803,29803
29934,29934
30061,30061
30184,30184
30304,30304
30420,30420
30532,30532
30640,30640
30745,30745
30845,30845
30942,30942
31034,31034
31123,31123
31207,31207
31288,31288
31364,31364
31436,31436
31503,31503
31567,31567
31626,31626
31681,31681
31732,31732
31778,31778
31820,31820
31858,31858
31891,31891
31920,31920
31944,31944
31964,31964
31980,31980
31991,31991
31997,31997
32000,32000
31997,31997
31991,31991
31980,31980
31964,31964
31944,31944
31920,31920
31891,31891
31858,31858
31820,31820
31778,31778
31732,31732
31681,31681
31626,31626
31567,31567
31503,31503
31436,31436
31364,31364
31288,31288
31207,31207
31123,31123
31034,31034
30942,30942
30845,30845
30745,30745
30640,30640
30532,30532
30420,30420
30304,30304
30184,30184
30061,30061
29934,29934
29803,29803
29669,29669
29531,29531
29390,29390
29245,29245
29097,29097
28946,28946
28792,28792
28634,28634
28474,28474
28310,28310
28143,28143
27974,27974
27802,27802
27626,27626
27449,27449
27268,27268
27085,27085
26899,26899
26711,26711
26521,26521
26328,26328
26133,26133
25936,25936
25737,25737
25536,25536
25333,25333
25128,25128
24921,24921
24713,24713
24502,24502
24291,24291
24077,24077
23863,23863
23646,23646
